,formatted_date,high,low,open,close,volume,adjclose
0,2019-01-01,141.3975067138672,132.65071105957028,141.51951599121094,140.8194122314453,2258709868,140.8194122314453
1,2019-01-02,156.92913818359375,140.65095520019528,155.196044921875,155.0476837158203,3328240369,155.0476837158203
2,2019-01-03,155.86305236816406,147.1983642578125,148.9128875732422,149.135009765625,2676164880,149.135009765625
3,2019-01-04,156.8789825439453,147.9071044921875,154.33741760253906,154.58193969726562,3126192535,154.58193969726562
4,2019-01-05,160.82489013671875,154.33741760253906,155.80422973632812,155.6385955810547,3338211928,155.6385955810547
5,2019-01-06,159.37144470214844,152.08592224121094,157.8094940185547,157.74620056152344,3231294371,157.74620056152344
6,2019-01-07,158.45042419433594,151.15072631835938,151.96754455566406,151.69921875,2712108388,151.69921875
7,2019-01-08,153.6257781982422,148.66954040527344,150.5546875,150.35963439941406,2459808140,150.35963439941406
8,2019-01-09,153.62225341796875,150.2883758544922,150.843505859375,150.80311584472656,2369241197,150.80311584472656
9,2019-01-10,152.1482696533203,126.52937316894531,127.81396484375,128.62518310546878,3397734456,128.62518310546878
10,2019-01-11,130.16593933105472,125.24494171142578,127.52808380126952,127.54832458496094,2667585234,127.54832458496094
11,2019-01-12,128.66612243652344,125.4467544555664,125.9072265625,125.9665298461914,2212109224,125.9665298461914
12,2019-01-13,126.26787567138672,116.08596801757812,116.97909545898438,116.8978042602539,2268263944,116.8978042602539
13,2019-01-14,130.85673522949222,116.96755981445312,129.17268371582028,129.0687255859375,2798085735,129.0687255859375
14,2019-01-15,130.74356079101562,120.3115234375,121.80924224853516,122.03271484375,2735449164,122.03271484375
15,2019-01-16,127.11824798583984,121.44141387939452,123.57353973388672,123.54706573486328,2746469340,123.54706573486328
16,2019-01-17,124.27072143554688,120.81703186035156,123.65465545654295,123.7419204711914,2594091285,123.7419204711914
17,2019-01-18,123.84169006347656,120.2418975830078,121.61442565917969,121.01026153564452,2305389800,121.01026153564452
18,2019-01-19,125.90422821044922,121.1610336303711,124.63240051269531,124.5190200805664,3048261797,124.5190200805664
19,2019-01-20,125.07038879394531,118.70232391357422,119.63645935058594,119.4748306274414,2964108269,119.4748306274414
